حلقہ نمبر3 بھوانہ,,,,,,,
صفحہ,بستی کا نام,یونین کونسل,مساجد,جماعتیں,ساتھی,نقشے پر ایڈریس,
46,ممبڑ کالونی,,1,1,0,31069,32059
48,ممورے کا کھوہ,,1,1,0,31056,32091
35,منڈی جھلار,,1,1,0,31078,32082
46,منڈی ھیر,,1,1,0,31069,32059
36,منظور آباد,,1,1,0,31070,32075
49,منگوآنہ 241,,1,1,0,31056,32085
49,منگوآنہ اڈہ,,1,1,0,31055,32086
49,منگوآنہ دفتر سٹاپ,,1,1,0,31057,30285
36,منگینی,,3,3,10,31071,32076
44,منور آباد,,1,1,0,31062,32073
34,مہر ممند کا ڈیرہ,,2,2,0,31072,32096
48,مہرو کا چک,,1,1,0,31059,32096
36,موتی والا,,1,1,0,31072,32078
42,موریاں والا,,1,1,0,31066,32091
43,موڑ چک 186,,0,0,0,31062,32088
42,موڑ مہرو کا,,0,0,0,31060,32097
26,موضع ابھول کا,,1,1,0,31080,32085
35,موضع بلہڑ کے,,1,1,0,31078,32088
35,موضع سمندر,,1,1,6,31072,32082
35,موضع لودھراں,,1,1,1,31072,32086
48,میاں چوک,,1,1,3,31051,32097
43,نارنگ دا کھوہ,,0,0,0,31060,32085
36,ناصر والا,,1,1,0,31070,32072
34,نائیاں پل,,0,0,0,31076,32098
44,ندرکے,,1,1,0,31064,32075
48,نصرانہ بڑا 200,,4,4,0,31050,32096
48,نصرانہ چھوٹا 200,,2,2,2,31050,32096
36,نصرت کالونی,,1,1,0,31072,32073
45,نلکہ اڈہ,,,,,31062,32068
34,نہریاں والا,,2,2,0,31071,32098
45,نواز آباد,,1,1,0,31060,32066
51,نواز آباد مقصود پلی,,1,1,2,31055,32063
34,نواں ٹھٹہ,,1,1,1,31078,32090
34,نواں کھوہ,,1,1,0,31076,32098
43,نور حسین,,1,1,0,31067,32084
34,نورا لداد,,1,1,5,31076,32096
35,نوشہرہ,,4,4,5,31074,32080
44,نولاں والی,,1,1,0,31065,32078
35,نویں نہریاں دی,,1,1,0,31078,32085
42,نیا پنڈ کھوکھر,,1,1,0,31069,32097
34,نیت والا کھوہ,,1,1,0,31078,32091
48,نیلیاں والا,,2,2,0,31052,32096
35,نئی آبادی کوٹ نجابت,,1,1,0,31070,32080
43,نئی کچہریاں,,1,1,1,31066,32082
34,ہتھماناں کھوہ,,1,1,1,31077,32090
34,ہرسہ بُلا,,1,1,0,31078,32099
48,ہریاں دی ڈھاریاں بکھری بستیاں,,0,0,0,31055,32099
44,ہماوٰں کی جھلار,,1,1,0,31069,32078
49,ہندلانہ 240,,1,1,0,31058,32084
50,ہیتم آباد,,1,1,1,31057,32075
35,ہیراں کی جھلار,,1,1,0,31078,32086
34,ھڈ نزد ترکھاناں والا,,1,1,2,31077,32098
34,ھڈ نزد کھوکھراں دا پرانا پنڈ,,2,2,0,31070,32098
44,واجد شاہ والا,,2,2,0,31067,32073
44,واڑہ,,2,1,0,31063,32074
42,وربھوانوالا,,1,1,0,31068,32092
44,وڑائچ آباد,,1,1,2,31066,32079
